origin,destination,year,TransitionProb3
0,0,2000,.2174318
1,0,2000,.0419753
2,0,2000,.0248262
3,0,2000,.0287032
4,0,2000,.0192105
5,0,2000,.0285499
6,0,2000,.0125388
0,1,2000,.0393921
1,1,2000,.8827161
2,1,2000,.0034757
3,1,2000,.0020502
4,1,2000,.0028947
5,1,2000,.0024127
6,1,2000,.0013981
0,2,2000,.0198511
1,2,2000,.004321
2,2,2000,.8614697
3,2,2000,.0184521
4,2,2000,.0139474
5,2,2000,.0042724
6,2,2000,.0023592
0,3,2000,.0279156
1,3,2000,.0037037
2,3,2000,.0153923
3,3,2000,.8534085
4,3,2000,.0110526
5,3,2000,.0045237
6,3,2000,.0020971
0,4,2000,.0313275
1,4,2000,.0061728
2,4,2000,.0268123
3,4,2000,.0189646
4,4,2000,.8702632
5,4,2000,.0064338
6,4,2000,.0053738
0,5,2000,.332196
1,5,2000,.0382716
2,5,2000,.040715
3,5,2000,.0527934
4,5,2000,.0389474
5,5,2000,.9100779
6,5,2000,.0335532
0,6,2000,.3318858
1,6,2000,.0228395
2,6,2000,.0273088
3,6,2000,.0256279
4,6,2000,.0436842
5,6,2000,.0437296
6,6,2000,.9426799
