Country,Sector,Year,Gross Output
1,1,2000,459787000
1,2,2000,1207866000
1,3,2000,978085000
1,4,2000,2059049953.51093
1,5,2000,4859557046.48907
1,6,2000,9000205000
2,1,2000,414637617.962296
2,2,2000,411490824.810401
2,3,2000,496129860.849981
2,4,2000,595651885.177905
2,5,2000,894626421.225073
2,6,2000,440479092.252317
3,1,2000,518249757.734292
3,2,2000,1320349899.54035
3,3,2000,1312441746.78123
3,4,2000,2206507082.47826
3,5,2000,5340194700.46978
3,6,2000,6215733272.59831
4,1,2000,283114489.032021
4,2,2000,1046774698.64558
4,3,2000,837638694.446129
4,4,2000,1872969398.97413
4,5,2000,3656163148.30114
4,6,2000,3648885546.10341
5,1,2000,240891438.068895
5,2,2000,327420926.109325
5,3,2000,333425214.454958
5,4,2000,441249599.447761
5,5,2000,1041377087.97549
5,6,2000,1224636727.7711
6,1,2000,1169069687.89702
6,2,2000,760324202.769195
6,3,2000,970366648.047957
6,4,2000,943157748.37731
6,5,2000,2904266990.91026
6,6,2000,1796978910.17463
