Exporter,Importer,Sector,Year,Import Share
1,1,1,2000,0.781082630811735
1,1,2,2000,0.845374554363695
1,1,3,2000,0.847493488053233
1,1,4,2000,0.735566279823869
1,1,5,2000,0.982488507842338
1,1,6,2000,0.985986136169921
1,2,1,2000,0.00137787358051715
1,2,2,2000,0.00297715986126136
1,2,3,2000,0.00182432402431554
1,2,4,2000,0.013258786312638
1,2,5,2000,0.000803632612046025
1,2,6,2000,0.00196194193886032
1,3,1,2000,0.00637943566361854
1,3,2,2000,0.0133113424500083
1,3,3,2000,0.00503351005209797
1,3,4,2000,0.0474585658812943
1,3,5,2000,0.00613655067754513
1,3,6,2000,0.0118063965647229
1,4,1,2000,0.0184767005640487
1,4,2,2000,0.0109098485892139
1,4,3,2000,0.0163038154255229
1,4,4,2000,0.0404857141037014
1,4,5,2000,0.00400688665915378
1,4,6,2000,0.0036533508507572
1,5,1,2000,0.0486915742020237
1,5,2,2000,0.147975067976969
1,5,3,2000,0.109146162902448
1,5,4,2000,0.333316956286625
1,5,5,2000,0.00783168584036375
1,5,6,2000,0.00786032593211735
1,6,1,2000,0.00647261702973554
1,6,2,2000,0.0175541107974215
1,6,3,2000,0.0137138808098379
1,6,4,2000,0.0863869604533595
1,6,5,2000,0.035892682853482
1,6,6,2000,0.0275524164824258
2,1,1,2000,0.000961850521749774
2,1,2,2000,0.00920621094195998
2,1,3,2000,0.0127015781251762
2,1,4,2000,0.00999801265457478
2,1,5,2000,0.000474964783434629
2,1,6,2000,8.48836533174064e-05
2,2,1,2000,0.952446785223399
2,2,2,2000,0.917297117342092
2,2,3,2000,0.941872490796052
2,2,4,2000,0.808821082075312
2,2,5,2000,0.986186937743195
2,2,6,2000,0.979582498290845
2,3,1,2000,0.0011153415773191
2,3,2,2000,0.0051994850530538
2,3,3,2000,0.00772703569773364
2,3,4,2000,0.0084239411025796
2,3,5,2000,0.000820544052232843
2,3,6,2000,0.000528698395539134
2,4,1,2000,0.0107292213795207
2,4,2,2000,0.00886477170381843
2,4,3,2000,0.0247022218007776
2,4,4,2000,0.0109100419309534
2,4,5,2000,0.00118023031416522
2,4,6,2000,0.000300701516102612
2,5,1,2000,0.000488477007248169
2,5,2,2000,0.00582343978326864
2,5,3,2000,0.00781741582536159
2,5,4,2000,0.00623807454959806
2,5,5,2000,0.000508996473850324
2,5,6,2000,6.90021401757351e-05
2,6,1,2000,0.00494535048828056
2,6,2,2000,0.0117726176667161
2,6,3,2000,0.0263352135130526
2,6,4,2000,0.0272422471235329
2,6,5,2000,0.00998494313770482
2,6,6,2000,0.00243771330373981
3,1,1,2000,0.0146198755878148
3,1,2,2000,0.0275166265166107
3,1,3,2000,0.0217563065039317
3,1,4,2000,0.0637079879618365
3,1,5,2000,0.00518746215910125
3,1,6,2000,0.00418504082718106
3,2,1,2000,0.00161711105722114
3,2,2,2000,0.00748678154195336
3,2,3,2000,0.00357112363556815
3,2,4,2000,0.0275421435956224
3,2,5,2000,0.00462487090803367
3,2,6,2000,0.00602578349280824
3,3,1,2000,0.817812043218479
3,3,2,2000,0.923820085493554
3,3,3,2000,0.919218856795047
3,3,4,2000,0.848243817718137
3,3,5,2000,0.97113924337053
3,3,6,2000,0.976699886304796
3,4,1,2000,0.0040841575051676
3,4,2,2000,0.0135628019604173
3,4,3,2000,0.0209520713593081
3,4,4,2000,0.0333990343234571
3,4,5,2000,0.00416334056982526
3,4,6,2000,0.00229793531364353
