isic_div,text,wiot_code,wiotAggregationCodes
A01,"Crop and animal production, hunting and related service activities",1,1
A02,"Forestry and logging",2,1
A03,"Fishing and aquaculture",3,1
B,"Mining and quarrying",4,1
C10-C12,"Manufacture of food products, beverages and tobacco products",5,3
C13-C15,"Manufacture of textiles, wearing apparel and leather products",6,3
C16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",7,2
C17,"Manufacture of paper and paper products",8,2
C18,"Printing and reproduction of recorded media",9,2
C19,"Manufacture of coke and refined petroleum products ",10,2
C20,"Manufacture of chemicals and chemical products ",11,4
C21,"Manufacture of basic pharmaceutical products and pharmaceutical preparations",12,4
C22,"Manufacture of rubber and plastic products",13,3
C23,"Manufacture of other non-metallic mineral products",14,3
C24,"Manufacture of basic metals",15,2
C25,"Manufacture of fabricated metal products, except machinery and equipment",16,2
C26,"Manufacture of computer, electronic and optical products",17,4
C27,"Manufacture of electrical equipment",18,4
C28,"Manufacture of machinery and equipment n.e.c.",19,4
C29,"Manufacture of motor vehicles, trailers and semi-trailers",20,4
C30,"Manufacture of other transport equipment",21,4
C31_C32,"Manufacture of furniture; other manufacturing",22,2
C33,"Repair and installation of machinery and equipment",23,4
D35,"Electricity, gas, steam and air conditioning supply",24,5
E36,"Water collection, treatment and supply",25,5
E37-E39,"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",26,5
F,"Construction",27,5
G45,"Wholesale and retail trade and repair of motor vehicles and motorcycles",28,5
G46,"Wholesale trade, except of motor vehicles and motorcycles",29,5
G47,"Retail trade, except of motor vehicles and motorcycles",30,5
H49,"Land transport and transport via pipelines",31,5
H50,"Water transport",32,5
H51,"Air transport",33,5
H52,"Warehousing and support activities for transportation",34,5
H53,"Postal and courier activities",35,5
I,"Accommodation and food service activities",36,5
J58,"Publishing activities",37,6
J59_J60,"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",38,6
J61,"Telecommunications",39,6
J62_J63,"Computer programming, consultancy and related activities; information service activities",40,6
K64,"Financial service activities, except insurance and pension funding",41,6
K65,"Insurance, reinsurance and pension funding, except compulsory social security",42,6
K66,"Activities auxiliary to financial services and insurance activities",43,6
L68,"Real estate activities",44,6
M69_M70,"Legal and accounting activities; activities of head offices; management consultancy activities",45,6
M71,"Architectural and engineering activities; technical testing and analysis",46,6
M72,"Scientific research and development",47,6
M73,"Advertising and market research",48,6
M74_M75,"Other professional, scientific and technical activities; veterinary activities",49,6
N,"Administrative and support service activities",50,6
O84,"Public administration and defence; compulsory social security",51,6
P85,"Education",52,6
Q,"Human health and social work activities",53,6
R_S,"Other service activities",54,5
T,"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use",55,5
U,"Activities of extraterritorial organizations and bodies",56,5
