Country,Sector,Year,Value Added
1,1,2000,208989000
1,2,2000,449218000
1,3,2000,322872000
1,4,2000,796259498.399615
1,5,2000,2947654501.60039
1,6,2000,5559785000
2,1,2000,242113678.778004
2,2,2000,103992212.714025
2,3,2000,138683931.498561
2,4,2000,143080688.542618
2,5,2000,326833571.199143
2,6,2000,243748204.581469
3,1,2000,288704608.840644
3,2,2000,418112363.110708
3,3,2000,404138523.562908
3,4,2000,728553396.316619
3,5,2000,2590120592.60823
3,6,2000,3887305596.2053
4,1,2000,152679416.417613
4,2,2000,361316963.834398
4,3,2000,310214298.274064
4,4,2000,591411311.772146
4,5,2000,1983114177.64041
4,6,2000,2440679435.38332
5,1,2000,150368324.556857
5,2,2000,90277150.7977705
5,3,2000,108336059.57952
5,4,2000,134656563.236949
5,5,2000,585248477.018195
5,6,2000,817280402.69469
6,1,2000,784598130.014786
6,2,2000,202272719.957046
6,3,2000,276381091.51923
6,4,2000,237160414.396077
6,5,2000,1395726322.85933
6,6,2000,1222652583.15269
